STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF2,WDF5,WDFG,WDFM,WESD,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT19
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,06/04/2004,,2.24,1449,1445,0,,,,63,69,56,,,270,280,,,,8.9,14.1,,,,,,,,,1,,,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,07/04/2004,,2.68,1506,1455,0,,,,62,69,54,,,270,270,,,,10.1,15,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,08/04/2004,,1.34,1624,1605,0,,,,62,68,55,,,270,250,,,,8.9,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,09/04/2004,,2.91,1523,1523,0,,,,65,71,59,,,260,270,,,,12.1,17,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,10/04/2004,,1.79,1722,1734,0,,,,62,65,58,,,270,260,,,,8.1,12.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,11/04/2004,,2.46,1418,1417,0,,,,70,79,60,,,280,280,,,,12.1,16.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,12/04/2004,,2.24,1411,1441,0,,,,65,74,56,,0,270,260,,,,10.1,13,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,13/04/2004,,2.46,1522,1621,0,,,,64,72,55,,0,250,270,,,,10.1,14.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,14/04/2004,,2.46,1514,1204,0,,,,64,73,54,,0,280,270,,,,10.1,16.1,,,1,,,,,,1,,1,,,,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",34.0236,-118.2911,54.6,15/04/2004,,2.46,1713,1713,0,,,,65,73,56,,0,260,270,,,,10.1,14.1,,,1,,,,,,1,,1,,,,
